##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	DS37574A_CACCGG_L001_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	6375750
Sequences flagged as poor quality	0
Sequence length	36
%GC	44
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.495939458102967	32.0	32.0	32.0	32.0	32.0
2	31.632921930753245	32.0	32.0	32.0	32.0	32.0
3	31.701166921538643	32.0	32.0	32.0	32.0	32.0
4	31.71257624593185	32.0	32.0	32.0	32.0	32.0
5	31.783748735442888	32.0	32.0	32.0	32.0	32.0
6	35.502577422264046	36.0	36.0	36.0	36.0	36.0
7	35.382709171470026	36.0	36.0	36.0	36.0	36.0
8	35.347688507234444	36.0	36.0	36.0	36.0	36.0
9	35.451040897149355	36.0	36.0	36.0	36.0	36.0
10	35.38229055405247	36.0	36.0	36.0	36.0	36.0
11	35.42864117946908	36.0	36.0	36.0	36.0	36.0
12	35.377277653609376	36.0	36.0	36.0	36.0	36.0
13	35.394935968317455	36.0	36.0	36.0	36.0	36.0
14	35.380189781594325	36.0	36.0	36.0	36.0	36.0
15	35.39059796886641	36.0	36.0	36.0	36.0	36.0
16	35.38343771321021	36.0	36.0	36.0	36.0	36.0
17	35.43304238717014	36.0	36.0	36.0	36.0	36.0
18	35.41346461200643	36.0	36.0	36.0	36.0	36.0
19	35.37243477237972	36.0	36.0	36.0	36.0	36.0
20	35.392021801356705	36.0	36.0	36.0	36.0	36.0
21	35.42506842332275	36.0	36.0	36.0	36.0	36.0
22	35.36569297729679	36.0	36.0	36.0	36.0	36.0
23	35.36331223777595	36.0	36.0	36.0	36.0	36.0
24	35.31536697643414	36.0	36.0	36.0	36.0	36.0
25	35.328880837548525	36.0	36.0	36.0	36.0	36.0
26	35.309111398658985	36.0	36.0	36.0	36.0	36.0
27	35.30752303650551	36.0	36.0	36.0	36.0	36.0
28	35.26411324157942	36.0	36.0	36.0	36.0	36.0
29	35.342952750656785	36.0	36.0	36.0	36.0	36.0
30	35.270092773399206	36.0	36.0	36.0	36.0	36.0
31	35.209014625730305	36.0	36.0	36.0	36.0	36.0
32	35.219074148139434	36.0	36.0	36.0	36.0	36.0
33	35.198611143787005	36.0	36.0	36.0	36.0	36.0
34	35.20339614947261	36.0	36.0	36.0	36.0	36.0
35	35.24558459789044	36.0	36.0	36.0	36.0	36.0
36	35.064874250088224	36.0	36.0	36.0	36.0	36.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
11101	1	0.00767341215230033
11101	2	0.03516607579852504
11101	3	-0.06202557494592753
11101	4	0.014882834404946976
11101	5	-0.027756688515779615
11101	6	-0.04820551283363983
11101	7	0.1384118554803564
11101	8	0.04657379065377398
11101	9	-0.028278057258965816
11101	10	-0.0471543847824023
11101	11	-0.02008983698525668
11101	12	-0.01106783343033868
11101	13	-0.07784218092284334
11101	14	-0.011235773479860711
11101	15	4.7027717274517045E-4
11101	16	-0.027879028014694995
11101	17	0.04147352733625098
11101	18	-0.06236811761537808
11101	19	-0.013767673556024818
11101	20	-0.03818590372841868
11101	21	0.04453808345466115
11101	22	-0.04680410658193779
11101	23	-0.1199098053038199
11101	24	-0.13650250387962615
11101	25	-0.11652270593783953
11101	26	-0.05954654981265861
11101	27	-0.020982338719676363
11101	28	-0.03402904038085097
11101	29	-0.020873059391334436
11101	30	-0.08200159030862864
11101	31	-0.09035508933830982
11101	32	-0.13307428521953568
11101	33	-0.16749698234979604
11101	34	-0.024304655241678574
11101	35	-0.021949446449063714
11101	36	0.013298100907611854
11102	1	0.08332305759127934
11102	2	-0.05108247320215398
11102	3	0.03787443539782842
11102	4	-0.08809271984806344
11102	5	0.039027207403034225
11102	6	-0.2160295310386573
11102	7	-0.014620589439132914
11102	8	-0.135538404636371
11102	9	-0.10309560486898306
11102	10	-0.008379085675414899
11102	11	0.11095867523761171
11102	12	-0.14844442665632585
11102	13	-0.03607868519252122
11102	14	-0.07114911577778571
11102	15	0.045187490334598124
11102	16	-0.1697907842698001
11102	17	-0.07218138192600776
11102	18	-0.048728149336234594
11102	19	-0.009191135496749325
11102	20	-0.10243213113018612
11102	21	-0.0143293900250967
11102	22	0.13676540921527902
11102	23	0.029580477310624076
11102	24	-0.059420822674233875
11102	25	-0.07270654898856321
11102	26	-0.008659859930006064
11102	27	-0.02772417002448435
11102	28	-0.11103716597705215
11102	29	-0.2032449979264257
11102	30	0.004113639150396864
11102	31	-0.12139095919085463
11102	32	-0.11445322303057281
11102	33	-0.08068067599068485
11102	34	-0.12518617324555947
11102	35	-0.13541586946277562
11102	36	-0.1417732135541172
11103	1	0.06793844220666401
11103	2	0.1194860886707545
11103	3	0.04991456917709414
11103	4	-0.025885361988532196
11103	5	-0.09408316048994436
11103	6	0.05086010106836625
11103	7	0.04558007945718856
11103	8	-0.04189291968653919
11103	9	0.023994696134359117
11103	10	-0.04784396861855811
11103	11	0.026677738782765914
11103	12	-0.05948121595398703
11103	13	-0.02805192933967504
11103	14	-0.031015336513569025
11103	15	0.04117411240817859
11103	16	0.010811222419164324
11103	17	-0.04676332172533648
